1640334235____1640334235____1642926235____1100____1____2022-01-23 15:23:55____1
1640334236____1640334235____1645518235____1100____2____2022-02-22 15:23:55____0
1640334237____1640334235____1648110235____1100____3____2022-03-24 15:23:55____0
1640334238____1640334235____1650702235____1100____4____2022-04-23 15:23:55____0
1640334239____1640334235____1653294235____1100____5____2022-05-23 15:23:55____0
1640334240____1640334235____1655886235____1100____6____2022-06-22 15:23:55____0
1640334241____1640334235____1658478235____1100____7____2022-07-22 15:23:55____0
1640334242____1640334235____1661070235____1100____8____2022-08-21 15:23:55____0
1640334243____1640334235____1663662235____1100____9____2022-09-20 15:23:55____0
1640334244____1640334235____1666254235____1100____10____2022-10-20 15:23:55____0
1640334248____1640334248____1642926248____1320____1____2022-01-23 15:24:08____0
1640334249____1640334248____1645518248____1320____2____2022-02-22 15:24:08____0
1640334250____1640334248____1648110248____1320____3____2022-03-24 15:24:08____0
1640334251____1640334248____1650702248____1320____4____2022-04-23 15:24:08____0
1640334252____1640334248____1653294248____1320____5____2022-05-23 15:24:08____0
1640334253____1640334248____1655886248____1320____6____2022-06-22 15:24:08____0
1640334254____1640334248____1658478248____1320____7____2022-07-22 15:24:08____0
1640334255____1640334248____1661070248____1320____8____2022-08-21 15:24:08____0
1640334256____1640334248____1663662248____1320____9____2022-09-20 15:24:08____0
1640334257____1640334248____1666254248____1320____10____2022-10-20 15:24:08____0
